ICD9,ICD10
07031,B161
07032,B181
07033,B180
07041,B171
07042,B170
07043,B172
07044,B182
07049,B178
07051,B171
07052,B170
07053,B172
07054,B182
07059,B178
0706,B190
0709,B199
071,A829
0720,B260
0721,B261
0722,B262
0723,B263
07271,K770
07272,G630
07279,B268
0728,B268
0729,B269
0730,J178
0737,A70
0738,A70
0739,A70
0740,B085
0741,B330
07420,B332
07421,B332
07422,B332
07423,B332
0743,B084
0748,B338
075,B279
0760,A710
0761,A711
0769,A719
0770,A740
0771,B300
0772,B302
0773,B301
0774,B303
0778,B308
07798,A740
07799,B308
0780,B081
07810,B07
07811,A630
07819,B07
0782,B348
0783,A281
0784,B088
0785,B259
0786,A985
0787,A968
07881,A881
07882,A081
07888,A748
07889,B348
0790,B340
0791,B341
0792,B341
0793,B348
0794,B344
07950,B333
07951,B333
07952,B333
07953,B333
07959,B333
07981,A748
07988,A748
07989,B348
07998,A749
07999,B349
080,A750
0810,A752
0811,A751
0812,A753
0819,A759
0820,A770
0821,A771
0822,A772
0823,A773
0828,A778
0829,A779
0830,A78
0831,A790
0832,A791
0838,A798
0839,A799
0840,B509
0841,B519
0842,B529
0843,B530
0844,B538
0845,B509
0846,B54
0847,B54
0848,B508
0849,B508
0850,B550
0851,B551
0852,B551
0853,B551
0854,B551
0855,B552
0859,B559
0860,B572
0861,B575
0862,B571
0863,B560
0864,B561
0865,B569
0869,B569
0870,A680
0871,A681
0879,A689
0880,A449
08881,A692
08882,B600
08889,A938
0889,A94
0900,A500
0901,A501
0902,A502
0903,A503
09040,A504
09041,A504
09042,A504
09049,A504
0905,A505
0906,A506
0907,A507
0909,A509
0910,A510
0911,A511
0912,A512
0913,A513
0914,R591
09150,H220
09151,H320
09152,H220
09161,M9019
09162,K770
09169,A514
0917,A514
09181,G01
09182,L998
09189,A514
0919,A514
0920,A515
0929,A515
0930,I790
0931,I791
09320,I398
09321,I390
09322,I391
09323,I392
09324,I393
09381,I320
09382,I410
09389,A520
0939,A520
0940,A521
0941,A521
0942,G01
0943,A522
09481,G050
09482,A521
09483,H320
09484,H480
09485,A521
09486,H940
09487,I607
09489,A521
0949,A521
0950,H190
0951,J998
0952,K672
0953,K770
0954,N290
0955,M9029
0956,M6309
0957,M6809
0958,A527
0959,A529
096,A528
0970,A528
0971,A530
0979,A539
